G*@0i,voltage,current,altitude,latitude,longitude,tas,gps_used,fix_type,satellites_num,roll,yaw,pitch,motor_status,imu_status,press_compass_status,f_mode,gps_status,vehicle_type,error_flags1,gps_accH
20180929 11:16:00:429,-30,16.7,0.0,-0.14,0.0,0.0,0.0,false,0,0,-0.46,341.81,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:00:482,-30,16.7,0.0,-0.14,0.0,0.0,0.0,false,0,0,-0.46,341.81,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:00:497,-29,16.7,0.0,-0.15,0.0,0.0,0.0,false,0,0,-0.46,341.81,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:00:530,-30,16.7,0.0,-0.15,0.0,0.0,0.0,false,0,0,-0.46,341.81,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:00:569,-30,16.7,0.0,-0.15,0.0,0.0,0.0,false,0,0,-0.46,341.81,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:00:610,-30,16.7,0.0,-0.15,0.0,0.0,0.0,false,0,0,-0.46,341.81,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:00:650,-31,16.7,0.0,-0.15,0.0,0.0,0.0,false,0,0,-0.46,341.82,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:00:691,-29,16.7,0.0,-0.15,0.0,0.0,0.0,false,0,0,-0.45,341.82,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:00:731,-40,16.7,0.0,-0.15,0.0,0.0,0.0,false,0,0,-0.45,341.82,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:00:771,-39,16.7,0.0,-0.15,0.0,0.0,0.0,false,0,0,-0.45,341.82,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:00:809,-31,16.7,0.0,-0.15,0.0,0.0,0.0,false,0,0,-0.45,341.82,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:00:849,-30,16.7,0.0,-0.16,0.0,0.0,0.0,false,0,0,-0.45,341.83002,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:00:908,-42,16.7,0.0,-0.16,0.0,0.0,0.0,false,0,0,-0.45,341.83002,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:00:930,-28,16.7,0.0,-0.16,0.0,0.0,0.0,false,0,0,-0.45,341.83002,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:00:971,-30,16.7,0.0,-0.17,0.0,0.0,0.0,false,0,0,-0.45,341.83002,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:01:012,-30,16.7,0.0,-0.16,0.0,0.0,0.0,false,0,0,-0.45,341.83002,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:01:051,-28,16.7,0.0,-0.16,0.0,0.0,0.0,false,0,0,-0.45,341.84,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:01:092,-41,16.7,0.0,-0.16,0.0,0.0,0.0,false,0,0,-0.45,341.84,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:01:152,-29,16.7,0.0,-0.16,0.0,0.0,0.0,false,0,0,-0.45,341.84,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:01:178,-29,16.7,0.0,-0.17,0.0,0.0,0.0,false,0,0,-0.45,341.84,0.06,255,97,85,16,1,5,0,4.4
20180929 11:16:01:232,-29,16.7,0.0,-0.17,0.0,0.0,0.0,false,0,0,-0.45,341.85,0.06,255,97,85,16,1,5,0,4.4

